City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Georgetown,MY,91.4,few clouds,5.41,100.34,Cititel Penang
4,Kavaratti,IN,86.0,few clouds,10.57,72.64,Bismillah Hotel And Lodging
9,Saint-Philippe,RE,77.0,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
10,Sola,VU,81.45,light rain,-13.88,167.55,Leumerus Bungalows
12,Sao Filipe,CV,78.78,broken clouds,14.9,-24.5,Tortuga B&B
14,Hithadhoo,MV,83.14,moderate rain,-0.6,73.08,Scoop Guest House
16,Victoria,HK,95.0,clear sky,22.29,114.16,Mini Hotel Central
21,Kavieng,PG,78.1,light rain,-2.57,150.8,Nusa Island Retreat
25,Carutapera,BR,77.02,few clouds,-1.2,-46.02,Lidera
26,Les Cayes,HT,80.55,moderate rain,18.2,-73.75,Villa Orphee
29,Kapaa,US,80.6,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
35,Lampazos De Naranjo,MX,82.99,scattered clouds,27.02,-100.52,Bella Vista
37,Atuona,PF,77.99,clear sky,-9.8,-139.03,Villa Enata
39,Cabo San Lucas,MX,84.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
40,Seoul,KR,91.4,haze,37.57,126.98,LOTTE HOTEL SEOUL
42,Wahiawa,US,82.4,clear sky,21.5,-158.02,The Inn At Schofield
43,Port Blair,IN,86.13,scattered clouds,11.67,92.75,Fortune Resort Bay Island
47,Banjar,ID,86.0,few clouds,-8.19,114.97,The Hamsa Resort
51,Baruun-Urt,MN,77.47,clear sky,46.68,113.28,Ахмадын амралт сувилал
55,Korla,CN,94.28,few clouds,41.76,86.15,Gulisitan Hotel
56,Nouadhibou,MR,75.2,scattered clouds,20.93,-17.03,El Medina
57,Sakakah,SA,84.2,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
58,Namatanai,PG,76.64,light rain,-3.67,152.43,Namatanai Hotel
65,Hilo,US,80.6,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
69,Salalah,OM,75.2,mist,17.02,54.09,HAMDAN PLAZA HOTEL
71,Padang,ID,86.47,light rain,-0.95,100.35,Mercure Padang
72,Vaini,TO,75.83,clear sky,-21.2,-175.2,Keleti Beach Resort
77,Pemangkat,ID,83.05,moderate rain,1.17,108.97,Kost H.Syamsuddin
80,Butaritari,KI,82.8,overcast clouds,3.07,172.79,Isles Sunset Lodge
82,Nizip,TR,78.8,clear sky,37.01,37.79,gümüş apart
94,Tezu,IN,93.33,light rain,27.92,96.17,Circuit House
95,San Pedro,PH,91.0,overcast clouds,14.35,121.02,OYO 412 Viewfort Venue
99,Bambous Virieux,MU,75.99,shower rain,-20.34,57.76,Casa Tia Villa
101,Acapulco,MX,78.89,light rain,16.86,-99.89,HS Hotsson Smart Acapulco
112,Azle,US,84.2,clear sky,32.9,-97.55,The Orchard Event Venue & Retreat - Wedding Venue
115,Kiunga,PG,83.34,light rain,-6.12,141.29,Airport Lodge Kiunga
117,Shenjiamen,CN,84.6,clear sky,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
118,Manohar Thana,IN,78.51,overcast clouds,24.24,76.8,GEETA SADAN
120,Bac Lieu,VN,88.09,light rain,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
123,Hasaki,JP,91.99,few clouds,35.73,140.83,Inubosaki Kanko Hotel
125,Khartoum,SD,82.4,few clouds,15.55,32.53,Hotel China
130,Laiyang,CN,86.45,light rain,36.98,120.71,莱阳恒银宾馆
133,Biltine,TD,75.07,moderate rain,14.53,20.92,Hôtel Trois Étoiles de Biltine
134,Pedernales,DO,81.19,overcast clouds,18.04,-71.74,Hotel Costa Marina
139,Sardulgarh,IN,93.81,clear sky,29.7,75.25,Shri Balaji Pg
147,Chochola,MX,77.0,light rain,20.75,-89.83,Chablé Yucatán
148,Archidona,ES,75.99,scattered clouds,37.1,-4.39,Hotel Escua
152,Ko Samui,TH,89.6,few clouds,9.54,99.94,"The Passage Samui Villas & Resort, Thailand"
159,Lorengau,PG,76.55,light rain,-2.02,147.27,Lorengau Harbourside Hotel
160,Kloulklubed,PW,87.8,broken clouds,7.04,134.26,Storyboard Beach Resort
163,Lazaro Cardenas,MX,78.69,light rain,17.96,-102.2,Collection O Hotel Quinta Antigua
164,Dublin,US,75.2,haze,37.7,-121.94,Larkspur Landing Pleasanton
175,Milledgeville,US,75.2,scattered clouds,33.08,-83.23,Hampton Inn Milledgeville
181,Zaysan,KZ,81.19,overcast clouds,47.47,84.87,Gostinitsa Aray
187,Saint-Joseph,RE,77.0,few clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
191,Ranot,TH,87.46,few clouds,7.78,100.32,Pakbanglake resort ปากบางเลค รีสอร์ท
192,Faanui,PF,77.22,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
194,Saint Anthony,US,75.2,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
196,Srandakan,ID,83.17,broken clouds,-7.94,110.25,Puri Brata
201,Chabahar,IR,87.8,scattered clouds,25.29,60.64,هتل گدروشیا
203,Callaguip,PH,89.6,scattered clouds,18.07,120.49,Pangil Beach Resort
208,Hirara,JP,84.2,broken clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
210,Mount Isa,AU,80.6,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
212,Shimoda,JP,86.0,few clouds,34.67,138.95,Shimoda Tokyu Hotel
213,Ambilobe,MG,84.31,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
219,Champerico,GT,77.9,heavy intensity rain,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
225,San Patricio,MX,79.41,light rain,19.22,-104.7,Hotel Cabo Blanco
234,Laguna,US,77.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
235,Marakkanam,IN,85.03,overcast clouds,12.2,79.95,OYO 73765 Ocean Breeze Guest House
236,Bathsheba,BB,78.8,shower rain,13.22,-59.52,Atlantis Hotel
237,Springfield,US,75.0,clear sky,37.22,-93.3,Best Western Route 66 Rail Haven
243,Tarakan,ID,84.18,clear sky,3.3,117.63,Hotel D' CaLia Tarakan
246,Bucerias,MX,82.99,broken clouds,20.75,-105.33,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
248,Saint George,US,77.0,moderate rain,37.1,-113.58,Best Western Plus Abbey Inn
252,Trairi,BR,75.11,scattered clouds,-3.28,-39.27,Pousada Field Lilies - Trairi
253,Mahajanga,MG,80.6,broken clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
254,Yuncheng,CN,86.16,overcast clouds,35.02,110.99,晋州快捷酒店
255,Tukrah,LY,81.34,clear sky,32.53,20.58,استراحة لاقروتا
257,Ixtapa,MX,82.99,light rain,20.7,-105.2,Container Inn Puerto Vallarta
260,Isangel,VU,77.0,light rain,-19.55,169.27,Volcano Sea View Tree House
261,Wuwei,CN,85.32,clear sky,37.93,102.64,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
262,Meulaboh,ID,86.18,few clouds,4.14,96.13,Kost Pria
264,Shaowu,CN,91.38,moderate rain,27.34,117.48,Yijie Express Hotel
266,Kollam,IN,86.0,scattered clouds,8.88,76.6,The Raviz Ashtamudi
267,Kilindoni,TZ,77.22,light rain,-7.91,39.67,Bustani B&B
268,San Andres,CO,78.8,scattered clouds,12.58,-81.7,Hotel Arena Blanca
271,Mormugao,IN,82.17,light rain,15.4,73.8,Hotel La-Paz Gardens
278,Tessaoua,NE,77.05,moderate rain,13.76,7.99,Benin Dan Kaabou Heberge
285,Sinnamary,GF,77.49,few clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
286,Gorom-Gorom,BF,80.29,light rain,14.44,-0.24,Mairie de Rambo
287,Tomatlan,MX,77.63,overcast clouds,19.93,-105.25,Norma franco
294,Surt,LY,81.34,broken clouds,31.21,16.59,City Hotel
298,Gizo,SB,82.49,light rain,-8.1,156.84,Imagination Island
299,Pokhara,NP,81.99,broken clouds,28.23,83.98,Hotel View Point
307,Esna,EG,84.2,clear sky,25.29,32.55,Orient Star Dahabyia Isna 05 Nights Each Sunday
308,Atar,MR,85.05,few clouds,20.52,-13.05,Oumou Elghoura
309,Mandeville,JM,77.0,thunderstorm with light rain,18.04,-77.51,Mandeville Hotel
310,Los Llanos De Aridane,ES,79.0,few clouds,28.66,-17.92,Valle Aridane
311,Kulhudhuffushi,MV,84.31,broken clouds,6.62,73.07,Haajy Guest House 1
312,Urucara,BR,75.52,scattered clouds,-2.54,-57.76,Pousada Maria Bonita
313,Kalamaria,GR,80.01,clear sky,40.58,22.95,Makedonia Palace Hotel
317,Auki,SB,83.32,broken clouds,-8.77,160.7,Auki Motel
320,Rosetta,EG,78.8,scattered clouds,31.4,30.42,Green Valley
328,Biak,ID,82.33,light rain,-0.91,122.88,Kost Ariz
329,Zlobin,HR,77.0,broken clouds,45.29,14.65,Sobe Zlobin
330,Parker,US,80.01,clear sky,32.77,-97.8,Candlewood Suites Weatherford
337,Alyangula,AU,86.0,clear sky,-13.85,136.42,Groote Eylandt Lodge
342,Yaring,TH,87.8,few clouds,6.87,101.37,My Home Pokku
344,Port Hedland,AU,95.0,clear sky,-20.32,118.57,The Esplanade Hotel
346,Viransehir,TR,86.22,clear sky,37.24,39.76,Viranşehir Öğretmenevi
349,Weiser,US,75.2,clear sky,44.25,-116.97,The Colonial Motel
350,Kalemie,CD,75.96,overcast clouds,-5.95,29.19,Mahobilali
354,Remedios,CU,80.6,few clouds,22.49,-79.55,Hostal Yunai
361,Chauk,MM,82.89,light rain,20.88,94.82,Bo Khin Guest House
366,Bandarbeyla,SO,84.34,scattered clouds,9.49,50.81,REER XOOSHLE GROUP
370,Makakilo City,US,82.4,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
373,Pascagoula,US,78.8,clear sky,30.37,-88.56,Regency Inn
374,Datong,CN,79.83,clear sky,40.09,113.29,Holiday Inn Datong City Centre
375,Lucea,JM,77.0,thunderstorm with light rain,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
376,Chisinau,MD,75.2,few clouds,47.01,28.86,Cosmos Hotel
377,Kut Chap,TH,82.4,broken clouds,17.43,102.57,นันทนารีสอร์ต
379,Airai,TL,75.25,clear sky,-8.93,125.41,Juvinal Martin
383,Kahului,US,82.4,clear sky,20.89,-156.47,Maui Seaside Hotel
384,Mugla,TR,77.0,clear sky,37.23,28.36,Petek Hotel
385,Palu,ID,86.76,light rain,-0.89,119.87,Hotel Santika Palu
386,Dingle,PH,88.66,light rain,11.0,122.67,Camp Pasica
387,Karachi,PK,89.6,smoke,24.91,67.08,Hillside Homes
388,Sojat,IN,84.9,moderate rain,25.92,73.67,AASHIRWAD BHAWAN
391,Kota Kinabalu,MY,87.8,few clouds,5.97,116.07,Gaya Centre Hotel
392,Neyshabur,IR,80.67,clear sky,36.21,58.8,Amiran Hotel
393,Bambanglipuro,ID,83.48,broken clouds,-7.95,110.28,Puri Brata
394,Alofi,NU,75.2,broken clouds,-19.06,-169.92,Taloa Heights
398,Pecos,US,80.6,clear sky,31.42,-103.49,Knights Inn Pecos
401,Quatre Cocos,MU,75.99,shower rain,-20.21,57.76,Veranda Palmar Beach Hotel
402,Misratah,LY,81.95,overcast clouds,32.38,15.09,فندق الماسة
403,Dasoguz,TM,78.8,clear sky,41.84,59.97,Hotel Erik
407,Luquillo,PR,82.4,clear sky,18.37,-65.72,Yunque Mar Beach Hotel
412,Buraydah,SA,93.2,clear sky,26.33,43.98,Mövenpick Hotel Qassim
417,Wajir,KE,75.2,broken clouds,1.75,40.06,Al- Amin lodge
419,Sampit,ID,90.68,scattered clouds,-2.53,112.95,Aquarius Boutique Hotel Sampit
421,Ginda,IN,84.2,haze,30.69,78.49,Bal uma sankar hotel and restaurant
423,Porto Novo,BJ,75.2,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
425,Waingapu,ID,87.3,clear sky,-9.66,120.26,Pondok Wisata Elim
427,Progreso,MX,77.0,overcast clouds,21.28,-89.67,Playa Linda Hotel
436,Buala,SB,83.37,light rain,-8.14,159.59,Maringe Lagoon Lodge
439,Itarema,BR,75.51,scattered clouds,-2.92,-39.92,Windvillage
441,Bengkulu,ID,88.39,few clouds,-3.8,102.27,Grage Hotel Bengkulu
443,Yangjiang,CN,95.0,clear sky,21.85,111.97,HUALUXE Yangjiang City Center
444,Nizwa,OM,94.23,overcast clouds,22.93,57.53,Orient Apartments
446,Liberty,US,78.8,clear sky,31.83,-81.5,Sasser Trailer Park
451,Miramar,US,86.0,overcast clouds,25.99,-80.23,Stadium Hotel
455,Cap Malheureux,MU,75.99,broken clouds,-19.98,57.61,Pereybere Hotel & Spa
458,Shingu,JP,89.6,few clouds,33.73,135.98,Shingu UI Hotel
460,Atambua,ID,85.17,clear sky,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
461,Kualakapuas,ID,89.6,few clouds,-3.01,114.39,Guest House Izonk
462,Tambun,ID,91.99,haze,-6.26,107.07,@HOM Premiere Tambun
463,San Antonio,US,80.6,clear sky,29.42,-98.49,Marriott Plaza San Antonio
467,Yanam,IN,86.0,scattered clouds,16.73,82.22,The Regency Hotel
472,Cabo Rojo,PR,75.99,broken clouds,18.09,-67.15,Hotel Perichi's
475,Banepa,NP,80.6,broken clouds,27.63,85.52,Dhulikhel Lodge Resort
484,Arawa,PG,82.47,light rain,-6.21,155.54,Coastline Guest House
491,Harper,LR,75.47,light rain,4.38,-7.72,Screensaver
492,Fort Wellington,GY,75.07,scattered clouds,6.4,-57.6,TE'AMO Entertainment Park
493,Manaus,BR,77.0,clear sky,-3.1,-60.02,Hotel do Largo
495,Arys,KZ,91.4,broken clouds,42.43,68.8,"Gostinitsa ""Madani"""
499,Bubaque,GW,80.49,overcast clouds,11.28,-15.83,Casa Dora
501,Pundaguitan,PH,84.25,broken clouds,6.37,126.17,Leonardo Family Beach House 1
502,Komsomolskiy,UZ,93.2,clear sky,40.43,71.72,Ikathouse
505,Guhagar,IN,84.31,light rain,17.48,73.19,Hotel Seawinds
510,Sorong,ID,80.96,moderate rain,-0.88,131.25,The Waigo Hotel
512,Awbari,LY,76.51,clear sky,26.59,12.78,فندق أوباري
513,Tiarei,PF,78.8,few clouds,-17.53,-149.33,Le Rocher de Tahiti
517,Salamiyah,SY,80.64,clear sky,35.01,37.05,Gondolas Forum grandchildren and grandparents
520,Pamanukan,ID,90.5,broken clouds,-6.28,107.81,Paris Day Hotel Pamanukan
525,Katherine,AU,93.2,clear sky,-14.47,132.27,Pine Tree Motel
529,Samarai,PG,75.61,light rain,-10.62,150.67,Nuli Sapi
531,Shiyan,CN,88.0,overcast clouds,32.65,110.78,Karen International Hotel
538,Goderich,CA,75.99,clear sky,43.75,-81.72,Harmony Inn
540,Amboasary,MG,75.2,scattered clouds,-25.03,46.38,DISCOVERY AMBOASARY
543,Nago,JP,80.01,light rain,26.59,127.98,Hotel Yugaf Inn Okinawa
553,Umm Lajj,SA,91.04,clear sky,25.02,37.27,Moon light Furnished Units
555,Fare,PF,77.97,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
559,Mareeba,AU,78.01,broken clouds,-17.0,145.43,Trinity Plains Tourist Park
560,Kupang,ID,93.2,few clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
568,Kampot,KH,89.6,scattered clouds,10.62,104.18,Champa Lodge
571,Matara,LK,87.21,broken clouds,5.95,80.54,Amaloh Boutique Resort
572,Kijang,KR,91.4,few clouds,35.24,129.21,Brown Dot Gijang Yeonhwari
573,Port-Gentil,GA,77.0,overcast clouds,-0.72,8.78,Fengshui Residence
574,Marsh Harbour,BS,85.28,clear sky,26.54,-77.06,Abaco Beach Resort
579,Pandan,PH,88.95,scattered clouds,14.05,124.17,Bonifacio Lodge
582,Eyl,SO,85.3,broken clouds,7.98,49.82,Amiin Hotel
586,Ayagoz,KZ,80.67,overcast clouds,47.97,80.44,Gostinitsa Nur
588,Tecoanapa,MX,76.75,moderate rain,16.52,-98.75,Hotel Manglares
589,Ponnani,IN,86.0,broken clouds,10.77,75.93,Rouba Residency
594,Lefka,CY,87.8,clear sky,35.11,32.85,Direk Hotel
596,Grand Gaube,MU,75.0,broken clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
597,Malpe,IN,82.4,scattered clouds,13.35,74.72,Hotel Sri Krishna Residency
600,Kudat,MY,87.8,few clouds,6.88,116.85,Dream Garden Hotel
605,Cockburn Town,TC,83.41,overcast clouds,21.46,-71.14,Osprey Beach Hotel
607,Katsuura,JP,91.99,scattered clouds,35.13,140.3,Katsuura Hotel Mikazuki
608,Yulara,AU,87.8,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
609,Kirakira,SB,83.57,light rain,-10.45,161.92,SanBiz Lodge
613,Filotion,GR,79.0,clear sky,37.05,25.5,Chalki Residence Group
618,Santa Rosa,PH,91.0,overcast clouds,14.31,121.11,Amethyst Econotel
620,Karratha,AU,90.99,clear sky,-20.74,116.85,ibis Styles Karratha
621,Naze,JP,86.0,broken clouds,28.37,129.48,奄美ポートタワーホテル
622,Burkburnett,US,75.0,clear sky,34.1,-98.57,Best Western Red River Inn
623,Roebourne,AU,92.95,clear sky,-20.78,117.13,Harding River Caravan Park
624,Zalantun,CN,76.26,broken clouds,48.0,122.72,GreenTree Alliance Hulunbeier Zhalantun Railway Station Hotel
625,Coahuayana,MX,78.33,light rain,18.73,-103.68,Hotel Los Arcos
626,Oistins,BB,77.0,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
630,Weligama,LK,86.47,broken clouds,5.97,80.42,Weligama Bay Resort
635,Yarada,IN,89.6,haze,17.65,83.27,"D-26/2, Dolphin Hill,"
636,Alice Springs,AU,86.0,clear sky,-23.7,133.88,Desert Palms Alice Springs
643,Kati,ML,75.2,few clouds,12.74,-8.07,AUBERGE DIATIGUIYA
645,Idil,TR,84.2,clear sky,37.34,41.89,ÇAKIR APARTMANI
646,Muncar,ID,84.42,few clouds,-8.43,114.33,Zaky Homestay
647,Katobu,ID,87.96,few clouds,-4.94,122.53,La Ode Husein
650,Oussouye,SN,80.6,few clouds,12.48,-16.55,Auberge du Routard
654,Mucurapo,TT,77.0,few clouds,10.67,-61.53,Courtyard by Marriott Port of Spain
